PABY-XXX	PFUR-XXX	PHOR-XXX	PKOD-XXX	SAGA-IAX	SAGA-III	SAGA-VXX	SDYS-XXX	SEQU-XXX	SEQU-MGC	SEQU-ZOO	SGAL-XXX	SGOR-XXX	SMIT-XXX	SMUT-ATC	SMUT-NN2	SPNE-705	SPNE-A19	SPNE-AT7	SPNE-ATB	SPNE-CGS	SPNE-D39	SPNE-G54	SPNE-HUN	SPNE-JJA	SPNE-P10	SPNE-TAI	SPNE-TIG	SPYO-ATC	SPYO-M18	SPYO-M28	SPYO-M2X	SPYO-M49	SPYO-M4X	SPYO-M5X	SPYO-M6X	SPYO-MG6	SPYO-MG5	SPYO-MG9	SPYO-SF3	SPYO-SSI	SSAN-XXX	SSUI-05Z	SSUI-98H	SSUI-BM4	SSUI-GZ1	SSUI-P17	SSUI-SC8	STHE-AT2	STHE-AT4	STHE-CNR	SUBE-XXX	BAMY-XXX	BANT-A02	BANT-AMA	BANT-AME	BANT-CDC	BANT-STE	BCER-03B	BCER-172	BCER-958	BCER-H71	BCER-H72	BCER-H73	BCER-H18	BCER-H60	BCER-H62	BCER-H67	BCER-H82	BCER-A76	BCER-A87	BCER-A79	BCER-A42	BCER-B42	BCER-BCE	BCER-ST1	BCER-ST4	BCER-ST6	BCER-6E1	BCER-CYT	BCER-F65	BCER-G98	BCER-M12	BCER-MM1	BCER-MM3	BCER-Q1X	BCER-R30	BCER-R15	BCER-R3X	BCER-R28	BCER-R29	BCER-R42	BCER-R44	BCER-R18	BCER-R2X	BCER-ANT	BCER-ZKX	BCLA-XXX	BHAL-XXX	BLIC-GOE	BLIC-NOV	BMEG-ATC	BMEG-DSM	BMYC-DSM	BMYC-R4X	BMYC-R17	BFIR-PSE	BMYC-PSE	BPUM-XXX	BSEL-XXX	BSUB-XXX	BTHU-ATC	BTHU-4AJ	BTHU-4AW	BTHU-4BA	BTHU-4BD	BTHU-4CC	BTHU-4YI	BTHU-BMB	BTHU-BT4	BTHU-XXX	BTHU-IB2	BTHU-IB4	BTHU-KON	BTHU-T01	BTHU-T03	BTHU-T04	BTHU-T13	BTUS-XXX	BWEI-XXX	BAPH-5AX	BAPH-BAI	BAPH-CIN	BAPH-SCH	BAPH-TOK	BAPH-TUC	ECOL-042	ECOL-559	ECOL-A27	ECOL-A33	ECOL-A87	ECOL-JGI	ECOL-KRI	ECOL-BL2	ECOL-BW2	ECOL-DH1	ECOL-EC4	ECOL-EDL	ECOL-K12	ECOL-103	ECOL-111	ECOL-127	ECOL-139	ECOL-157	ECOL-017	ECOL-018	ECOL-001	ECOL-026	ECOL-045	ECOL-055	ECOL-006	ECOL-K15	ECOL-007	ECOL-081	ECOL-008	ECOL-009	ECOL-REL	ECOL-SAK	ECOL-SE1	ECOL-SE5	ECOL-SMS	ECOL-TW1	ECOL-UTI	EFER-XXX	SBOY-018	SBOY-004	SDYS-XXX	SFLE-245	SFLE-301	SFLE-05B	SFLE-00X	SSON-XXX
sucA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	2	1	2	1	2	2	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1
sucB	0	0	0	0	1	1	1	1	1	1	1	1	2	0	2	2	2	2	1	2	2	1	2	0	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	3	4	5	4	3	4	4	4	4	4	4	4	4	4	4	4	4	3	2	3	4	4	4	6	4	4	4	4	4	3	3	3	3	5	4	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	5	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	2	2	3	2	2	2	3	3	2	3	2	2	3	2	3	2	2	2	2	2	3	2	2	3	3	2	2	2	2	2	2	2	2
lpd	3	3	2	3	4	4	6	6	5	4	5	4	5	4	5	4	4	4	4	4	4	4	3	3	4	4	4	4	4	3	4	4	4	3	3	4	4	4	4	4	4	5	4	3	4	4	4	4	3	3	3	5	4	5	5	5	5	5	5	5	6	5	5	5	5	4	5	5	6	5	4	5	5	5	5	3	5	5	4	3	4	4	5	5	5	5	6	5	4	5	5	4	5	3	5	5	5	5	7	4	4	7	5	5	4	4	6	4	6	6	4	6	5	3	6	5	5	5	5	5	5	4	5	5	6	5	4	5	5	5	1	1	1	1	1	1	5	4	4	4	4	4	4	3	3	4	4	4	5	4	5	5	4	4	4	5	5	4	5	4	5	5	4	5	4	4	4	4	4	5	4	4	5	4	3	3	3	3	3	3	3	4
sucD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	2	2	2	2	2	2	2	1	1	2	2	2	3	2	2	3	2	2	2	3	3	2	3	2	3	3	2	3	2	2	2	2	2	3	2	2	3	3	1	1	1	1	1	1	1	2
sucC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	2	1	2	1	2	2	1	2	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1
sdhA	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	1	1	0	0	0	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	1	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	2	2	2	2	2
sdhB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	1	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
sdhC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
sdhD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
fumA	2	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	4	3	3	2	3	3	3	3	3	3	4	4	5	3	3	3	3	4	4	3	3	3	3	4	3	3	4	3	3	3	3	4	3	3	4	4	3	4	2	3	2	3	3	3	3	3
fumB	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	5	3	3	2	3	3	3	3	3	3	5	5	5	3	3	4	3	5	5	4	4	3	4	5	4	3	5	4	3	3	3	5	3	4	4	5	4	4	2	3	2	3	3	3	3	3
fumC	1	1	1	0	1	1	1	1	1	0	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	3	4	4	4	4	4	3	4	3	2	3	3	4	3	3	2	4	2	3	4	3	4	4	3	2	2	4	3	3	4	3	4	3	4	3	4	2	3	3	3	4	2	3	4	4	2	2	5	5	2	4	3	4	4	2	4	4	3	2	3	4	3	2	3	2	3	4	3	4	4	3	4	3	3	3	2	2	3	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	2	2	3	2	2	2	2	2	2	2	2
mdh	0	0	0	0	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	3	4	4	2	2	2	2	3	3	4	4	4	2	4	2	2	2	4	5	4	4	3	4	4	4	4	4	5	4	4	4	4	4	4	1	4	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
mqo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	2	2	0	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1
metA	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
metB	1	1	1	1	0	0	0	0	0	0	0	2	2	2	2	2	2	2	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	2	2	2	2	2	3	3	3	0	3	5	5	5	5	5	5	5	5	5	4	4	5	4	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	4	5	5	5	5	3	5	6	5	6	6	3	3	6	6	5	5	5	5	5	4	5	3	5	5	5	5	5	4	6	5	5	5	5	5	5	5	5	5	5	2	5	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2
metC	1	1	1	1	0	0	0	0	0	0	0	2	2	2	2	2	2	2	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	3	3	3	0	3	5	5	5	5	5	5	5	5	5	4	4	5	4	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	4	5	5	5	5	3	5	5	5	6	6	3	3	6	6	5	5	5	5	5	4	5	3	5	5	5	5	5	4	6	5	5	5	5	5	5	5	5	5	5	2	5	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2
malY	3	2	2	1	3	3	3	2	2	1	2	4	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	4	5	4	5	5	5	5	4	4	4	4	5	4	4	4	4	4	4	4	4	5	4	4	4	3	3	5	4	5	4	3	4	5	4	4	4	4	4	4	3	5	4	5	4	4	4	5	5	4	4	4	4	3	3	4	4	3	6	4	4	4	4	4	3	3	4	3	4	4	5	5	4	4	4	5	4	3	5	5	4	4	6	4	5	4	4	4	1	5	0	0	0	0	0	0	4	3	3	3	3	3	3	3	3	3	3	2	3	3	4	3	3	3	2	4	3	3	3	3	4	4	3	3	3	3	3	3	3	3	3	3	5	3	3	3	2	2	2	2	2	3
metH	0	0	0	0	2	2	2	0	0	0	0	2	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	3	4	3	2	2	2	2	2	3	3	2	2	2	2	2	3	1	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	3	2	1	3	0	0	0	0	0	0	1	1	2	2	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
